acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adobe-source-han-sans-cn-fonts 2.001-2
adobe-source-han-serif-cn-fonts 1.001-3
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.3.2-1
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
aom 2.0.0-1
archlinux-keyring 20200622-1
archlinuxcn-keyring 20200728-1
arduino-avr-core 1.8.3-1
arduino-cli 0.11.0-2
argon2 20190702-3
aria2 1.35.0-2
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
avr-binutils 2.34-2
avr-gcc 10.2.0-1
avr-libc 2.0.0-4
avrdude 1:6.3-7
base 2-2
bash 5.0.017-1
bc 1.07.1-4
binutils 2.34-5
bison 3.6.4-1
blas 3.9.0-3
bluez-libs 5.54-2
boost-libs 1.72.0-2
bridge-utils 1.7-1
brotli 1.0.7-3
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.55-2
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cantarell-fonts 1:0.201-1
cblas 3.9.0-3
ceph-libs 14.2.8-1
cifs-utils 6.10-1
cmake 3.18.1-1
colord 1.4.4+9+g1ce26da-2
confuse 3.3-1
containerd 1.3.4-2
coreutils 8.32-1
cracklib 2.9.7-2
cronie 1.5.5-1
cryptsetup 2.3.3-1
curl 7.71.1-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.36.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhclient 4.4.2-2
dhcpcd 9.1.4-2
diffutils 3.7-3
djvulibre 3.5.27-6
dkms 2.8.3-1
dnsmasq 2.82-1
dnssec-anchors 20190629-2
docker 1:19.03.12-2
double-conversion 3.1.5-2
e2fsprogs 1.45.6-2
efibootmgr 17-1
efivar 37-4
elfutils 0.180-1
expat 2.2.9-3
fakeroot 1.24-2
fbida 2.14-2
ffmpeg 2:4.3.1-1
file 5.39-1
filesystem 2020.05.20-1
findutils 4.7.0-2
firefox 79.0-1
flac 1.3.3-2
flex 2.6.4-3
fontconfig 2:2.13.91+48+gfcb0420-2
freetype2 2.10.2-1
fribidi 1.0.10-1
fuse-common 3.9.2-1
fuse2 2.9.9-4
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-libs 10.1.0-2
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0+6+g5432316df-1
geoip 1.6.12-2
geoip-database 20200721-1
gettext 0.20.2-1
ghostscript 9.52-1
giflib 5.2.1-2
girara 0.3.5-1
git 2.28.0-1
glib-networking 2.64.3-2
glib2 2.64.4-1
glibc 2.31-5
gmp 6.2.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.21-1
gnuplot 5.4.0-4
gnutls 3.6.14-2
go 2:1.14.7-1
google-chrome 84.0.4147.105-1
gpgme 1.14.0-1
gpm 1.20.7.r27.g1fd1941-2
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-8
gsettings-desktop-schemas 3.36.1-1
gsm 1.0.19-1
gst-plugins-base-libs 1.16.2-2
gstreamer 1.16.2-2
gtk-update-icon-cache 1:3.24.21-1
gtk2 2.24.32-2
gtk3 1:3.24.21-1
guile 2.2.6-2
gzip 1.10-3
harfbuzz 2.7.0-1
harfbuzz-icu 2.7.0-1
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
htop 2.2.0-3
hugo 0.74.3-1
hwids 20200306-1
iana-etc 20200720-1
icu 67.1-1
ijs 0.35-3
im2a 0.6.2-1
imagemagick 7.0.10.26-1
iniparser 4.1-2
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
